n,repetition,seed,method,dimension,runtime_seconds,status,error,timing_scope
200,0,21160721,CPI,50,86.10765538131818,SUCCESS,,evaluate_only
200,0,21160721,LOCO,50,95.50761027773842,SUCCESS,,evaluate_only
200,0,21160721,nLOCO,50,191.75145031511784,SUCCESS,,evaluate_only
200,0,21160721,dLOCO,50,114.01546352822334,SUCCESS,,evaluate_only
200,0,21160721,OT,50,7.005839391145855,SUCCESS,,evaluate_only
200,0,21160721,EOT,50,5.118473424110562,SUCCESS,,evaluate_only
200,0,21160721,FDFI,50,26.40192419430241,SUCCESS,,evaluate_only
200,0,21160721,SHAP,10,1472.0743087059818,SUCCESS,,evaluate_only
200,1,21160821,CPI,50,87.86793879931793,SUCCESS,,evaluate_only
200,1,21160821,LOCO,50,99.438821349293,SUCCESS,,evaluate_only
200,1,21160821,nLOCO,50,208.8521363600157,SUCCESS,,evaluate_only
200,1,21160821,dLOCO,50,124.15061932103708,SUCCESS,,evaluate_only
200,1,21160821,OT,50,7.588115356862545,SUCCESS,,evaluate_only
200,1,21160821,EOT,50,5.940802616067231,SUCCESS,,evaluate_only
200,1,21160821,FDFI,50,26.756985490210354,SUCCESS,,evaluate_only
200,1,21160821,SHAP,10,1461.0788374319673,SUCCESS,,evaluate_only
200,2,21160921,CPI,50,86.66901549696922,SUCCESS,,evaluate_only
200,2,21160921,LOCO,50,101.46983384201305,SUCCESS,,evaluate_only
200,2,21160921,nLOCO,50,209.299927698914,SUCCESS,,evaluate_only
200,2,21160921,dLOCO,50,123.30222270078956,SUCCESS,,evaluate_only
200,2,21160921,OT,50,7.420083752833307,SUCCESS,,evaluate_only
200,2,21160921,EOT,50,6.3495497880503535,SUCCESS,,evaluate_only
200,2,21160921,FDFI,50,26.60612889705226,SUCCESS,,evaluate_only
400,0,21160721,CPI,50,105.298013033811,SUCCESS,,evaluate_only
400,0,21160721,LOCO,50,104.34931238088757,SUCCESS,,evaluate_only
400,0,21160721,nLOCO,50,210.1475735269487,SUCCESS,,evaluate_only
400,0,21160721,dLOCO,50,165.051835951861,SUCCESS,,evaluate_only
400,0,21160721,OT,50,15.696399150416255,SUCCESS,,evaluate_only
400,0,21160721,EOT,50,11.285078864078969,SUCCESS,,evaluate_only
400,0,21160721,FDFI,50,44.85207723872736,SUCCESS,,evaluate_only
400,0,21160721,SHAP,10,1437.9631933290511,SUCCESS,,evaluate_only
600,0,21160721,CPI,50,122.7243009051308,SUCCESS,,evaluate_only
600,0,21160721,LOCO,50,92.42733166925609,SUCCESS,,evaluate_only
600,0,21160721,nLOCO,50,186.08528659725562,SUCCESS,,evaluate_only
600,0,21160721,dLOCO,50,247.4430743418634,SUCCESS,,evaluate_only
600,0,21160721,OT,50,23.916879390832037,SUCCESS,,evaluate_only
600,0,21160721,EOT,50,24.904110780451447,SUCCESS,,evaluate_only
600,0,21160721,FDFI,50,71.79539997316897,SUCCESS,,evaluate_only
600,0,21160721,SHAP,10,1355.9897033302113,SUCCESS,,evaluate_only
800,0,21160721,CPI,50,213.34219630016014,SUCCESS,,evaluate_only
800,0,21160721,LOCO,50,90.26555796992034,SUCCESS,,evaluate_only
800,0,21160721,nLOCO,50,190.75522730592638,SUCCESS,,evaluate_only
800,0,21160721,dLOCO,50,346.743148509413,SUCCESS,,evaluate_only
800,0,21160721,OT,50,39.274399764835835,SUCCESS,,evaluate_only
800,0,21160721,EOT,50,33.86576945800334,SUCCESS,,evaluate_only
800,0,21160721,FDFI,50,100.7285827617161,SUCCESS,,evaluate_only
800,0,21160721,SHAP,10,1351.9647916569375,SUCCESS,,evaluate_only
1000,0,21160721,CPI,50,207.48341928608716,SUCCESS,,evaluate_only
1000,0,21160721,LOCO,50,97.8217438859865,SUCCESS,,evaluate_only
1000,0,21160721,nLOCO,50,195.61616125609726,SUCCESS,,evaluate_only
1000,0,21160721,dLOCO,50,467.5433197929524,SUCCESS,,evaluate_only
1000,0,21160721,OT,50,47.9337201686576,SUCCESS,,evaluate_only
1000,0,21160721,EOT,50,41.01464002393186,SUCCESS,,evaluate_only
1000,0,21160721,FDFI,50,120.78398799197748,SUCCESS,,evaluate_only
1000,0,21160721,SHAP,10,1424.3144262963906,SUCCESS,,evaluate_only
400,1,21160821,CPI,50,140.37623841594905,SUCCESS,,evaluate_only
400,1,21160821,LOCO,50,92.62208409514278,SUCCESS,,evaluate_only
400,1,21160821,nLOCO,50,230.87540510529652,SUCCESS,,evaluate_only
400,1,21160821,dLOCO,50,163.0250877533108,SUCCESS,,evaluate_only
400,1,21160821,OT,50,11.172579633072019,SUCCESS,,evaluate_only
400,1,21160821,EOT,50,11.082991561852396,SUCCESS,,evaluate_only
400,1,21160821,FDFI,50,45.15728486282751,SUCCESS,,evaluate_only
400,1,21160821,SHAP,10,1540.168470568955,SUCCESS,,evaluate_only
600,1,21160821,CPI,50,125.89013702701777,SUCCESS,,evaluate_only
600,1,21160821,LOCO,50,98.61733653023839,SUCCESS,,evaluate_only
600,1,21160821,nLOCO,50,205.16181085212156,SUCCESS,,evaluate_only
600,1,21160821,dLOCO,50,228.11087016714737,SUCCESS,,evaluate_only
600,1,21160821,OT,50,20.17710827663541,SUCCESS,,evaluate_only
600,1,21160821,EOT,50,18.177824982907623,SUCCESS,,evaluate_only
600,1,21160821,FDFI,50,57.607193388044834,SUCCESS,,evaluate_only
600,1,21160821,SHAP,10,1423.8313996740617,SUCCESS,,evaluate_only
800,1,21160821,CPI,50,144.90053352015093,SUCCESS,,evaluate_only
800,1,21160821,LOCO,50,96.67410072218627,SUCCESS,,evaluate_only
800,1,21160821,nLOCO,50,207.62128903809935,SUCCESS,,evaluate_only
800,1,21160821,dLOCO,50,330.13451799890026,SUCCESS,,evaluate_only
800,1,21160821,OT,50,26.38228929694742,SUCCESS,,evaluate_only
800,1,21160821,EOT,50,25.736968825105578,SUCCESS,,evaluate_only
800,1,21160821,FDFI,50,74.58578197611496,SUCCESS,,evaluate_only
800,1,21160821,SHAP,10,1536.1266272468492,SUCCESS,,evaluate_only
1000,1,21160821,CPI,50,163.63493484212086,SUCCESS,,evaluate_only
1000,1,21160821,LOCO,50,97.55815965635702,SUCCESS,,evaluate_only
1000,1,21160821,nLOCO,50,214.9353060433641,SUCCESS,,evaluate_only
1000,1,21160821,dLOCO,50,387.3548522312194,SUCCESS,,evaluate_only
1000,1,21160821,OT,50,35.30208141775802,SUCCESS,,evaluate_only
1000,1,21160821,EOT,50,34.62886073207483,SUCCESS,,evaluate_only
1000,1,21160821,FDFI,50,93.44750327989459,SUCCESS,,evaluate_only
1000,1,21160821,SHAP,10,1607.1583089800552,SUCCESS,,evaluate_only
200,2,21160921,SHAP,10,1477.39497174602,SUCCESS,,evaluate_only
400,2,21160921,CPI,50,105.2579420749098,SUCCESS,,evaluate_only
400,2,21160921,LOCO,50,103.32616753363982,SUCCESS,,evaluate_only
400,2,21160921,nLOCO,50,213.32037128228694,SUCCESS,,evaluate_only
400,2,21160921,dLOCO,50,168.6130571682006,SUCCESS,,evaluate_only
400,2,21160921,OT,50,12.557449941057712,SUCCESS,,evaluate_only
400,2,21160921,EOT,50,11.162569895386696,SUCCESS,,evaluate_only
400,2,21160921,FDFI,50,44.725594053044915,SUCCESS,,evaluate_only
400,2,21160921,SHAP,10,1531.2190273236483,SUCCESS,,evaluate_only
600,2,21160921,CPI,50,123.56116172811016,SUCCESS,,evaluate_only
600,2,21160921,LOCO,50,97.48265595594421,SUCCESS,,evaluate_only
600,2,21160921,nLOCO,50,203.63305506994948,SUCCESS,,evaluate_only
600,2,21160921,dLOCO,50,237.94065177068114,SUCCESS,,evaluate_only
600,2,21160921,OT,50,20.093294474761933,SUCCESS,,evaluate_only
600,2,21160921,EOT,50,18.237217837013304,SUCCESS,,evaluate_only
600,2,21160921,FDFI,50,57.10187391983345,SUCCESS,,evaluate_only
600,2,21160921,SHAP,10,1484.3931964682415,SUCCESS,,evaluate_only
800,2,21160921,CPI,50,143.34607319207862,SUCCESS,,evaluate_only
800,2,21160921,LOCO,50,98.00859393691644,SUCCESS,,evaluate_only
800,2,21160921,nLOCO,50,206.00738224200904,SUCCESS,,evaluate_only
800,2,21160921,dLOCO,50,306.7216487918049,SUCCESS,,evaluate_only
800,2,21160921,OT,50,25.79744250094518,SUCCESS,,evaluate_only
800,2,21160921,EOT,50,25.550745632965118,SUCCESS,,evaluate_only
800,2,21160921,FDFI,50,73.64512317907065,SUCCESS,,evaluate_only
800,2,21160921,SHAP,10,1539.764932794962,SUCCESS,,evaluate_only
1000,2,21160921,CPI,50,162.7404409139417,SUCCESS,,evaluate_only
1000,2,21160921,LOCO,50,97.77725189505145,SUCCESS,,evaluate_only
